code,name,role,links
FAF3201,"Advanced Structure Dynamics, Modelling and Measurements (7.5 ECTS, 3 rd cycle)","Responsible for field tests VT11, VT15, VT19. Lecture on railway bridge dynamics VT24.",FAF3201|https://www.kth.se/student/kurser/kurs/FAF3201/?l=en
AF2024,"Finite Element Methods in Analysis and Design (7.5 ECTS, 2 nd cycle)","assistant HT11, VT13-VT16, VT18, coordinator VT13-VT16, VT18-VT25",AF2024|http://www.kth.se/student/kurser/kurs/AF2024?l=en
AF2203,"Bridge Design, Advanced Course (7.5 ECTS, 2 nd cycle)","assistant HT08, HT13",AF2203|http://www.kth.se/student/kurser/kurs/AF2203?l=en
AF2012,"Civil Engineering Project Course (15 ECTS, 2 nd cycle)",assistant VT07-VT10,AF2012|http://www.kth.se/student/kurser/kurs/AF2012?l=en
AF1002,"Buildings and Civil Engineering Structures (7.5 ECTS, 1 st cycle)",assistant VT05-VT11,AF1002|http://www.kth.se/student/kurser/kurs/AF1002?l=en
